index,City,Date,Card Type,Exp Type,Gender,Amount,Year,Month
48,"Greater Mumbai, India",01-06-2014,Gold,Bills,F,314366,2014,June
49,"Greater Mumbai, India",27-04-2014,Signature,Bills,F,551340,2014,April
50,"Delhi, India",04-10-2013,Signature,Bills,F,735037,2013,October
51,"Greater Mumbai, India",31-12-2014,Platinum,Bills,F,574023,2014,December
52,"Ahmedabad, India",21-12-2013,Signature,Bills,F,402300,2013,December
53,"Delhi, India",07-12-2013,Signature,Bills,F,733125,2013,December
54,"Greater Mumbai, India",07-02-2014,Signature,Bills,F,545977,2014,February
55,"Bengaluru, India",13-05-2015,Silver,Bills,F,371572,2015,May
56,"Ahmedabad, India",28-01-2015,Signature,Bills,F,326283,2015,January
57,"Delhi, India",09-12-2014,Platinum,Bills,F,279051,2014,December
58,"Delhi, India",08-10-2013,Platinum,Bills,F,900101,2013,October
59,"Ahmedabad, India",24-04-2014,Silver,Bills,F,545286,2014,April
60,"Delhi, India",13-01-2015,Platinum,Bills,F,722587,2015,January
61,"Bengaluru, India",14-03-2014,Platinum,Bills,F,411062,2014,March
62,"Delhi, India",27-02-2014,Platinum,Bills,F,660910,2014,February
63,"Greater Mumbai, India",29-10-2013,Signature,Bills,F,557370,2013,October
64,"Greater Mumbai, India",22-06-2014,Platinum,Bills,F,549794,2014,June
65,"Delhi, India",23-01-2014,Platinum,Bills,F,340133,2014,January
66,"Bengaluru, India",10-11-2013,Gold,Bills,F,265417,2013,November
67,"Greater Mumbai, India",13-12-2013,Platinum,Bills,F,358185,2013,December
68,"Greater Mumbai, India",22-03-2014,Gold,Bills,F,991685,2014,March
69,"Greater Mumbai, India",13-01-2015,Gold,Bills,F,533762,2015,January
70,"Greater Mumbai, India",08-05-2014,Gold,Bills,F,829742,2014,May
71,"Delhi, India",18-02-2014,Silver,Bills,F,441527,2014,February
72,"Delhi, India",04-10-2013,Signature,Bills,F,550782,2013,October
73,"Greater Mumbai, India",14-06-2014,Platinum,Bills,F,835872,2014,June
74,"Ahmedabad, India",24-08-2014,Silver,Bills,F,540497,2014,August
75,"Greater Mumbai, India",02-04-2015,Platinum,Bills,F,525977,2015,April
76,"Greater Mumbai, India",27-06-2014,Gold,Bills,F,789393,2014,June
77,"Greater Mumbai, India",06-02-2015,Platinum,Bills,F,689478,2015,February
78,"Bengaluru, India",29-03-2014,Silver,Bills,F,499079,2014,March
79,"Ahmedabad, India",22-04-2014,Platinum,Bills,F,665107,2014,April
80,"Greater Mumbai, India",14-10-2014,Platinum,Bills,F,998077,2014,October
81,"Ahmedabad, India",02-02-2014,Silver,Bills,F,934205,2014,February
82,"Bengaluru, India",01-04-2015,Platinum,Bills,F,823426,2015,April
83,"Ahmedabad, India",13-01-2015,Signature,Bills,F,282910,2015,January
84,"Bengaluru, India",27-03-2014,Gold,Bills,F,418675,2014,March
85,"Ahmedabad, India",17-02-2015,Silver,Bills,F,804949,2015,February
86,"Bengaluru, India",10-02-2015,Gold,Bills,F,686601,2015,February
87,"Greater Mumbai, India",26-02-2014,Silver,Bills,F,561220,2014,February
88,"Greater Mumbai, India",07-05-2015,Gold,Bills,F,762534,2015,May
89,"Bengaluru, India",05-01-2014,Gold,Bills,F,327947,2014,January
90,"Bengaluru, India",07-04-2014,Gold,Bills,F,492986,2014,April
91,"Delhi, India",20-02-2015,Signature,Bills,F,369237,2015,February
92,"Bengaluru, India",19-01-2015,Platinum,Bills,F,983839,2015,January
93,"Ahmedabad, India",14-11-2014,Gold,Bills,F,776716,2014,November
94,"Greater Mumbai, India",21-07-2014,Gold,Bills,F,664632,2014,July
95,"Bengaluru, India",03-02-2015,Gold,Bills,F,466727,2015,February
96,"Bengaluru, India",01-11-2013,Gold,Bills,F,896384,2013,November
97,"Delhi, India",07-12-2013,Signature,Bills,F,712001,2013,December
98,"Greater Mumbai, India",05-08-2014,Silver,Bills,F,246865,2014,August
99,"Greater Mumbai, India",08-01-2015,Signature,Bills,F,858729,2015,January
100,"Delhi, India",11-04-2015,Platinum,Bills,F,581882,2015,April
101,"Greater Mumbai, India",15-02-2015,Signature,Bills,F,646426,2015,February
102,"Bengaluru, India",24-03-2015,Silver,Bills,F,687088,2015,March
103,"Bengaluru, India",13-10-2013,Signature,Bills,F,973026,2013,October
104,"Greater Mumbai, India",24-04-2015,Silver,Bills,F,944398,2015,April
105,"Ahmedabad, India",09-11-2014,Platinum,Bills,F,414422,2014,November
106,"Bengaluru, India",04-02-2015,Signature,Bills,F,408503,2015,February
107,"Bengaluru, India",06-03-2014,Signature,Bills,F,984466,2014,March
108,"Greater Mumbai, India",27-03-2014,Gold,Bills,F,919997,2014,March
109,"Greater Mumbai, India",13-11-2013,Signature,Bills,F,535101,2013,November
110,"Greater Mumbai, India",22-10-2013,Signature,Bills,F,978301,2013,October
111,"Greater Mumbai, India",27-09-2014,Gold,Bills,F,880406,2014,September
112,"Ahmedabad, India",14-11-2014,Silver,Bills,F,447241,2014,November
113,"Bengaluru, India",21-10-2013,Platinum,Bills,F,382191,2013,October
114,"Bengaluru, India",15-05-2015,Silver,Bills,F,775859,2015,May
115,"Bengaluru, India",21-03-2014,Platinum,Bills,F,832637,2014,March
116,"Bengaluru, India",03-04-2015,Platinum,Bills,F,458526,2015,April
117,"Ahmedabad, India",06-04-2015,Signature,Bills,F,440995,2015,April
118,"Ahmedabad, India",05-11-2013,Platinum,Bills,F,490128,2013,November
119,"Delhi, India",07-10-2013,Platinum,Bills,F,897079,2013,October
120,"Delhi, India",31-10-2014,Gold,Bills,F,431948,2014,October
121,"Bengaluru, India",03-04-2014,Silver,Bills,F,228072,2014,April
122,"Delhi, India",21-11-2013,Gold,Bills,F,757649,2013,November
123,"Delhi, India",11-05-2014,Signature,Bills,F,919877,2014,May
124,"Greater Mumbai, India",23-05-2014,Gold,Bills,F,605615,2014,May
125,"Bengaluru, India",22-05-2015,Platinum,Bills,F,500852,2015,May
126,"Greater Mumbai, India",15-02-2015,Signature,Bills,F,488136,2015,February
127,"Delhi, India",16-06-2014,Gold,Bills,F,937828,2014,June
128,"Delhi, India",27-01-2014,Gold,Bills,F,315873,2014,January
129,"Greater Mumbai, India",20-05-2015,Silver,Bills,F,567623,2015,May
130,"Greater Mumbai, India",29-10-2013,Platinum,Bills,F,555123,2013,October
131,"Bengaluru, India",20-04-2014,Gold,Bills,F,498843,2014,April
132,"Greater Mumbai, India",23-05-2014,Silver,Bills,F,752610,2014,May
133,"Greater Mumbai, India",11-03-2015,Platinum,Bills,F,494540,2015,March
134,"Delhi, India",27-10-2013,Gold,Bills,F,996754,2013,October
135,"Ahmedabad, India",14-07-2014,Signature,Bills,F,245572,2014,July
136,"Delhi, India",18-04-2014,Gold,Bills,F,974384,2014,April
137,"Ahmedabad, India",25-03-2014,Silver,Bills,F,846635,2014,March
138,"Ahmedabad, India",01-09-2014,Silver,Bills,F,635473,2014,September
139,"Delhi, India",23-03-2015,Gold,Bills,F,224510,2015,March
140,"Delhi, India",24-01-2015,Silver,Bills,F,478671,2015,January
141,"Greater Mumbai, India",04-10-2013,Gold,Bills,F,990700,2013,October
142,"Delhi, India",14-03-2014,Gold,Bills,F,228565,2014,March
143,"Bengaluru, India",03-01-2014,Silver,Bills,F,297732,2014,January
144,"Greater Mumbai, India",03-12-2014,Signature,Bills,F,559262,2014,December
145,"Bengaluru, India",01-07-2014,Signature,Bills,F,809907,2014,July
146,"Ahmedabad, India",21-08-2014,Signature,Bills,F,428316,2014,August
147,"Ahmedabad, India",05-03-2014,Signature,Bills,F,275065,2014,March
148,"Bengaluru, India",20-04-2014,Silver,Bills,F,845653,2014,April
149,"Ahmedabad, India",20-11-2013,Signature,Bills,F,236296,2013,November
150,"Bengaluru, India",25-09-2014,Signature,Bills,F,440572,2014,September
151,"Ahmedabad, India",06-02-2015,Gold,Bills,F,478115,2015,February
152,"Bengaluru, India",26-10-2013,Gold,Bills,F,897621,2013,October
153,"Greater Mumbai, India",06-05-2015,Signature,Bills,F,554281,2015,May
154,"Delhi, India",30-09-2014,Silver,Bills,F,245452,2014,September
155,"Delhi, India",17-01-2014,Platinum,Bills,F,365045,2014,January
156,"Greater Mumbai, India",11-01-2015,Gold,Bills,F,496047,2015,January
157,"Bengaluru, India",11-02-2015,Silver,Bills,F,466814,2015,February
158,"Bengaluru, India",10-11-2014,Gold,Bills,F,835177,2014,November
159,"Delhi, India",12-01-2015,Silver,Bills,F,219698,2015,January
160,"Bengaluru, India",18-10-2014,Silver,Bills,F,784541,2014,October
161,"Delhi, India",25-10-2013,Signature,Bills,F,576994,2013,October
162,"Bengaluru, India",15-05-2015,Gold,Bills,F,464663,2015,May
163,"Bengaluru, India",03-05-2014,Platinum,Bills,F,380270,2014,May
164,"Ahmedabad, India",02-10-2014,Silver,Bills,F,772082,2014,October
165,"Delhi, India",09-04-2015,Gold,Bills,F,230853,2015,April
166,"Bengaluru, India",06-10-2013,Signature,Bills,F,677654,2013,October
167,"Greater Mumbai, India",05-02-2014,Signature,Bills,F,929247,2014,February
168,"Ahmedabad, India",09-04-2015,Platinum,Bills,F,851374,2015,April
169,"Ahmedabad, India",19-01-2014,Platinum,Bills,F,637600,2014,January
170,"Greater Mumbai, India",09-11-2013,Platinum,Bills,F,681749,2013,November
171,"Delhi, India",25-03-2014,Silver,Bills,F,847958,2014,March
172,"Greater Mumbai, India",18-02-2014,Gold,Bills,F,877569,2014,February
173,"Ahmedabad, India",14-10-2013,Platinum,Bills,F,450413,2013,October
174,"Bengaluru, India",01-05-2015,Signature,Bills,F,219041,2015,May
175,"Bengaluru, India",31-12-2014,Gold,Bills,F,866572,2014,December
176,"Greater Mumbai, India",26-03-2014,Signature,Bills,F,570791,2014,March
177,"Ahmedabad, India",28-04-2014,Silver,Bills,F,705464,2014,April
178,"Greater Mumbai, India",06-04-2014,Signature,Bills,F,806821,2014,April
179,"Greater Mumbai, India",27-03-2014,Platinum,Bills,F,515472,2014,March
180,"Ahmedabad, India",23-09-2014,Silver,Bills,F,352207,2014,September
181,"Ahmedabad, India",04-03-2015,Gold,Bills,F,342761,2015,March
182,"Bengaluru, India",27-02-2014,Signature,Bills,F,249099,2014,February
183,"Ahmedabad, India",27-08-2014,Platinum,Bills,F,995634,2014,August
184,"Bengaluru, India",12-12-2014,Signature,Bills,F,435097,2014,December
185,"Ahmedabad, India",16-06-2014,Platinum,Bills,F,797815,2014,June
186,"Delhi, India",02-01-2014,Gold,Bills,F,326922,2014,January
187,"Bengaluru, India",11-12-2014,Gold,Bills,F,396241,2014,December
188,"Delhi, India",14-12-2014,Gold,Bills,F,486949,2014,December
189,"Greater Mumbai, India",17-01-2014,Gold,Bills,F,333483,2014,January
190,"Ahmedabad, India",05-10-2013,Platinum,Bills,F,612572,2013,October
191,"Bengaluru, India",18-03-2015,Silver,Bills,F,327244,2015,March
192,"Ahmedabad, India",04-02-2014,Silver,Bills,F,955468,2014,February
193,"Greater Mumbai, India",25-02-2015,Gold,Bills,F,927864,2015,February
194,"Delhi, India",28-03-2014,Signature,Bills,F,555220,2014,March
195,"Delhi, India",28-12-2014,Silver,Bills,F,952640,2014,December
196,"Ahmedabad, India",31-05-2014,Silver,Bills,F,695749,2014,May
197,"Greater Mumbai, India",22-08-2014,Platinum,Bills,F,365724,2014,August
198,"Greater Mumbai, India",03-03-2015,Platinum,Bills,F,738108,2015,March
199,"Ahmedabad, India",17-01-2015,Platinum,Bills,F,650785,2015,January
200,"Delhi, India",23-10-2014,Signature,Bills,F,611486,2014,October
201,"Bengaluru, India",05-08-2014,Platinum,Bills,F,965721,2014,August
202,"Ahmedabad, India",12-10-2014,Gold,Bills,F,413052,2014,October
203,"Ahmedabad, India",22-01-2014,Silver,Bills,F,584822,2014,January
204,"Ahmedabad, India",25-03-2015,Gold,Bills,F,980146,2015,March
205,"Ahmedabad, India",10-10-2014,Signature,Bills,F,926072,2014,October
206,"Delhi, India",16-04-2014,Silver,Bills,F,482394,2014,April
207,"Bengaluru, India",21-02-2014,Signature,Bills,F,718346,2014,February
208,"Bengaluru, India",24-04-2014,Silver,Bills,F,491598,2014,April
209,"Delhi, India",07-09-2014,Platinum,Bills,F,848852,2014,September
210,"Bengaluru, India",28-12-2014,Gold,Bills,F,396139,2014,December
211,"Ahmedabad, India",13-10-2014,Signature,Bills,F,856974,2014,October
212,"Ahmedabad, India",03-04-2015,Signature,Bills,F,855990,2015,April
213,"Delhi, India",16-02-2015,Signature,Bills,F,924776,2015,February
214,"Greater Mumbai, India",03-04-2014,Signature,Bills,F,204850,2014,April
215,"Delhi, India",03-11-2013,Platinum,Bills,F,780669,2013,November
216,"Greater Mumbai, India",17-04-2014,Signature,Bills,F,887442,2014,April
217,"Delhi, India",22-01-2014,Signature,Bills,F,297820,2014,January
218,"Delhi, India",14-03-2015,Signature,Bills,F,687879,2015,March
219,"Greater Mumbai, India",13-10-2013,Silver,Bills,F,738456,2013,October
220,"Delhi, India",24-08-2014,Platinum,Bills,F,378535,2014,August
221,"Greater Mumbai, India",09-05-2015,Silver,Bills,F,334116,2015,May
222,"Delhi, India",07-06-2014,Silver,Bills,F,772360,2014,June
223,"Ahmedabad, India",26-11-2014,Gold,Bills,F,580796,2014,November
224,"Greater Mumbai, India",21-10-2014,Silver,Bills,F,855465,2014,October
225,"Greater Mumbai, India",15-06-2014,Gold,Bills,F,978989,2014,June
226,"Ahmedabad, India",25-04-2015,Gold,Bills,F,451874,2015,April
227,"Ahmedabad, India",07-09-2014,Silver,Bills,F,670750,2014,September
228,"Bengaluru, India",19-05-2015,Signature,Bills,F,977951,2015,May
229,"Delhi, India",23-02-2014,Platinum,Bills,F,403466,2014,February
230,"Delhi, India",28-10-2013,Signature,Bills,F,861177,2013,October
231,"Ahmedabad, India",17-12-2014,Gold,Bills,F,528612,2014,December
232,"Ahmedabad, India",04-12-2014,Signature,Bills,F,339670,2014,December
233,"Delhi, India",18-11-2013,Signature,Bills,F,963751,2013,November
234,"Ahmedabad, India",30-11-2014,Gold,Bills,F,761930,2014,November
235,"Ahmedabad, India",21-08-2014,Signature,Bills,F,852806,2014,August
236,"Delhi, India",25-05-2014,Signature,Bills,F,207755,2014,May
237,"Greater Mumbai, India",19-04-2015,Gold,Bills,F,489540,2015,April
238,"Ahmedabad, India",25-03-2014,Silver,Bills,F,274395,2014,March
239,"Bengaluru, India",11-02-2014,Platinum,Bills,F,566945,2014,February
240,"Ahmedabad, India",09-12-2014,Gold,Bills,F,705690,2014,December
241,"Bengaluru, India",25-03-2014,Gold,Bills,F,894888,2014,March
242,"Greater Mumbai, India",02-01-2014,Platinum,Bills,F,811899,2014,January
243,"Greater Mumbai, India",25-12-2014,Silver,Bills,F,677645,2014,December
244,"Greater Mumbai, India",16-10-2014,Platinum,Bills,F,326162,2014,October
245,"Delhi, India",19-04-2015,Platinum,Bills,F,316946,2015,April
246,"Delhi, India",20-01-2014,Platinum,Bills,F,622373,2014,January
247,"Bengaluru, India",10-05-2014,Signature,Bills,F,640653,2014,May
248,"Ahmedabad, India",09-01-2015,Signature,Bills,F,745493,2015,January
249,"Delhi, India",31-10-2013,Gold,Bills,F,868021,2013,October
250,"Delhi, India",28-11-2014,Platinum,Bills,F,284923,2014,November
251,"Bengaluru, India",21-07-2014,Platinum,Bills,F,814422,2014,July
252,"Bengaluru, India",22-04-2015,Gold,Bills,F,599741,2015,April
253,"Ahmedabad, India",10-06-2014,Platinum,Bills,F,804560,2014,June
254,"Ahmedabad, India",17-04-2015,Gold,Bills,F,996291,2015,April
255,"Ahmedabad, India",09-11-2013,Platinum,Bills,F,477553,2013,November
256,"Delhi, India",02-01-2015,Gold,Bills,F,216028,2015,January
257,"Greater Mumbai, India",10-03-2015,Signature,Bills,F,275427,2015,March
258,"Delhi, India",22-12-2013,Silver,Bills,F,722048,2013,December
259,"Delhi, India",14-02-2015,Silver,Bills,F,292365,2015,February
260,"Ahmedabad, India",30-01-2015,Silver,Bills,F,400393,2015,January
261,"Greater Mumbai, India",01-04-2014,Platinum,Bills,F,219720,2014,April
262,"Delhi, India",15-02-2015,Signature,Bills,F,981404,2015,February
263,"Bengaluru, India",24-11-2014,Signature,Bills,F,639670,2014,November
264,"Bengaluru, India",07-08-2014,Gold,Bills,F,814333,2014,August
265,"Ahmedabad, India",17-10-2013,Gold,Bills,F,569582,2013,October
266,"Ahmedabad, India",25-05-2014,Gold,Bills,F,954111,2014,May
267,"Ahmedabad, India",16-05-2014,Gold,Bills,F,635267,2014,May
268,"Delhi, India",11-10-2013,Gold,Bills,F,393651,2013,October
269,"Ahmedabad, India",02-06-2014,Platinum,Bills,F,572306,2014,June
270,"Ahmedabad, India",06-08-2014,Silver,Bills,F,407647,2014,August
271,"Greater Mumbai, India",26-01-2015,Gold,Bills,F,734396,2015,January
272,"Delhi, India",02-03-2015,Platinum,Bills,F,224414,2015,March
273,"Ahmedabad, India",10-09-2014,Signature,Bills,F,203194,2014,September
274,"Greater Mumbai, India",22-01-2015,Gold,Bills,F,250410,2015,January
275,"Delhi, India",04-04-2015,Silver,Bills,F,830697,2015,April
276,"Greater Mumbai, India",16-05-2014,Platinum,Bills,F,790800,2014,May
277,"Greater Mumbai, India",22-02-2014,Silver,Bills,F,638570,2014,February
278,"Greater Mumbai, India",13-08-2014,Silver,Bills,F,380409,2014,August
279,"Greater Mumbai, India",01-04-2014,Gold,Bills,F,601631,2014,April
280,"Ahmedabad, India",08-01-2014,Gold,Bills,F,690534,2014,January
281,"Ahmedabad, India",05-03-2015,Silver,Bills,F,423661,2015,March
282,"Greater Mumbai, India",08-12-2014,Silver,Bills,F,936294,2014,December
283,"Bengaluru, India",29-11-2014,Platinum,Bills,F,537050,2014,November
284,"Delhi, India",08-03-2015,Silver,Bills,F,899343,2015,March
285,"Greater Mumbai, India",25-11-2013,Platinum,Bills,F,834691,2013,November
286,"Ahmedabad, India",13-04-2015,Silver,Bills,F,240216,2015,April
287,"Greater Mumbai, India",15-04-2014,Signature,Bills,F,424370,2014,April
288,"Delhi, India",13-02-2015,Silver,Bills,F,593991,2015,February
289,"Greater Mumbai, India",02-10-2014,Signature,Bills,F,768467,2014,October
290,"Delhi, India",07-02-2015,Gold,Bills,F,781959,2015,February
291,"Bengaluru, India",27-12-2014,Platinum,Bills,F,553907,2014,December
292,"Bengaluru, India",04-08-2014,Platinum,Bills,F,308622,2014,August
293,"Greater Mumbai, India",05-05-2015,Signature,Bills,F,912334,2015,May
294,"Delhi, India",28-01-2015,Silver,Bills,F,586474,2015,January
295,"Delhi, India",06-04-2014,Gold,Bills,F,521237,2014,April
296,"Delhi, India",30-10-2013,Signature,Bills,F,446266,2013,October
297,"Greater Mumbai, India",30-09-2014,Platinum,Bills,F,511168,2014,September
298,"Bengaluru, India",28-12-2013,Signature,Bills,F,608438,2013,December
299,"Delhi, India",18-10-2014,Gold,Bills,F,973519,2014,October
300,"Delhi, India",28-11-2014,Platinum,Bills,F,688577,2014,November
301,"Bengaluru, India",12-05-2014,Silver,Bills,F,686619,2014,May
302,"Greater Mumbai, India",06-11-2014,Signature,Bills,F,255982,2014,November
303,"Greater Mumbai, India",02-03-2014,Signature,Bills,F,464656,2014,March
304,"Delhi, India",19-04-2015,Signature,Bills,F,212319,2015,April
305,"Greater Mumbai, India",18-04-2015,Platinum,Bills,F,307563,2015,April
306,"Delhi, India",15-04-2015,Silver,Bills,F,407564,2015,April
307,"Bengaluru, India",12-10-2014,Signature,Bills,F,331349,2014,October
308,"Delhi, India",14-04-2015,Silver,Bills,F,391325,2015,April
309,"Ahmedabad, India",07-10-2014,Silver,Bills,F,530244,2014,October
310,"Greater Mumbai, India",16-04-2014,Signature,Bills,F,668736,2014,April
311,"Bengaluru, India",03-12-2014,Gold,Bills,F,517448,2014,December
312,"Ahmedabad, India",03-08-2014,Platinum,Bills,F,788531,2014,August
313,"Ahmedabad, India",17-03-2014,Gold,Bills,F,474729,2014,March
314,"Bengaluru, India",16-01-2015,Platinum,Bills,F,590841,2015,January
315,"Greater Mumbai, India",05-01-2014,Platinum,Bills,F,608427,2014,January
316,"Delhi, India",02-05-2015,Silver,Bills,F,719835,2015,May
317,"Delhi, India",30-12-2013,Signature,Bills,F,375139,2013,December
318,"Bengaluru, India",19-05-2014,Platinum,Bills,F,229589,2014,May
319,"Bengaluru, India",05-07-2014,Signature,Bills,F,376453,2014,July
320,"Delhi, India",10-10-2013,Signature,Bills,F,360009,2013,October
321,"Ahmedabad, India",03-08-2014,Signature,Bills,F,770346,2014,August
322,"Greater Mumbai, India",23-05-2015,Signature,Bills,F,489043,2015,May
323,"Bengaluru, India",11-11-2014,Platinum,Bills,F,503037,2014,November
324,"Greater Mumbai, India",11-01-2014,Platinum,Bills,F,731261,2014,January
325,"Ahmedabad, India",14-02-2014,Signature,Bills,F,262755,2014,February
326,"Greater Mumbai, India",16-07-2014,Gold,Bills,F,825475,2014,July
327,"Greater Mumbai, India",24-02-2014,Platinum,Bills,F,922630,2014,February
328,"Delhi, India",25-09-2014,Gold,Bills,F,752172,2014,September
329,"Ahmedabad, India",11-06-2014,Gold,Bills,F,418009,2014,June
330,"Delhi, India",07-06-2014,Signature,Bills,F,994537,2014,June
331,"Greater Mumbai, India",02-08-2014,Silver,Bills,F,922206,2014,August
332,"Greater Mumbai, India",21-05-2014,Signature,Bills,F,389097,2014,May
333,"Bengaluru, India",04-04-2015,Signature,Bills,F,880778,2015,April
334,"Greater Mumbai, India",03-03-2015,Gold,Bills,F,327971,2015,March
335,"Bengaluru, India",02-03-2014,Signature,Bills,F,689201,2014,March
336,"Bengaluru, India",17-05-2015,Silver,Bills,F,792440,2015,May
337,"Bengaluru, India",17-03-2015,Signature,Bills,F,602222,2015,March
338,"Ahmedabad, India",03-09-2014,Platinum,Bills,F,502399,2014,September
339,"Ahmedabad, India",17-03-2014,Silver,Bills,F,272804,2014,March
340,"Bengaluru, India",06-06-2014,Platinum,Bills,F,613280,2014,June
341,"Delhi, India",17-10-2014,Signature,Bills,F,876491,2014,October
342,"Bengaluru, India",25-02-2014,Silver,Bills,F,820217,2014,February
343,"Greater Mumbai, India",06-09-2014,Signature,Bills,F,994184,2014,September
344,"Ahmedabad, India",07-12-2013,Platinum,Bills,F,515263,2013,December
345,"Ahmedabad, India",28-08-2014,Signature,Bills,F,338527,2014,August
346,"Ahmedabad, India",16-06-2014,Silver,Bills,F,934683,2014,June
347,"Ahmedabad, India",07-07-2014,Signature,Bills,F,454570,2014,July
348,"Greater Mumbai, India",28-01-2015,Gold,Bills,F,654519,2015,January
349,"Ahmedabad, India",12-06-2014,Gold,Bills,F,958047,2014,June
350,"Bengaluru, India",03-11-2013,Silver,Bills,F,465281,2013,November
351,"Ahmedabad, India",31-12-2013,Signature,Bills,F,653161,2013,December
352,"Ahmedabad, India",14-04-2014,Gold,Bills,F,307350,2014,April
353,"Greater Mumbai, India",27-08-2014,Silver,Bills,F,41002,2014,August
354,"Bengaluru, India",03-01-2014,Silver,Bills,F,34743,2014,January
355,"Bengaluru, India",26-09-2014,Signature,Bills,F,195589,2014,September
356,"Bengaluru, India",10-03-2014,Signature,Bills,F,204735,2014,March
357,"Ahmedabad, India",14-05-2014,Signature,Bills,F,118112,2014,May
358,"Greater Mumbai, India",12-12-2013,Platinum,Bills,F,61572,2013,December
359,"Delhi, India",25-02-2015,Gold,Bills,F,274938,2015,February
360,"Greater Mumbai, India",21-02-2014,Signature,Bills,F,43854,2014,February
361,"Delhi, India",27-04-2014,Gold,Bills,F,8798,2014,April
362,"Greater Mumbai, India",08-05-2015,Gold,Bills,F,192241,2015,May
363,"Bengaluru, India",10-04-2014,Silver,Bills,F,128164,2014,April
364,"Delhi, India",28-04-2014,Signature,Bills,F,249061,2014,April
365,"Greater Mumbai, India",29-01-2014,Gold,Bills,F,275283,2014,January
366,"Greater Mumbai, India",03-01-2014,Platinum,Bills,F,172194,2014,January
367,"Ahmedabad, India",13-05-2015,Gold,Bills,F,13162,2015,May
368,"Bengaluru, India",05-02-2015,Platinum,Bills,F,3427,2015,February
369,"Bengaluru, India",07-01-2015,Gold,Bills,F,171374,2015,January
370,"Delhi, India",19-02-2015,Signature,Bills,F,286251,2015,February
